Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,2.4143978859406117,7.878410036738318,2.245484666284,0.021579492458247036,1.038292299906068,0.36965200605249315,0.0,0.04966355024720528,0.0,0.04676912890052613,3479.5799399999983,77907.2343,0.9567900297348451,17397.000200000002,55346.2341,5164.0,663.1,20544.799599999984,81386.81423999999,"{'Northeast': {'Northeast': 0, 'West': 6.575760092151759, 'Coastal': 13.973987632340124, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 4.273999407755863, 'West': 0, 'Coastal': 0, 'South': 26.18194131303669, 'Panhandle': 0}, 'Coastal': {'Northeast': 0.08015901379828849, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815616701,94.36877330897755,45.1202797777114,129.912137895126,113.88279799498991,384.47217595836315,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,399.4,10273.697199999986,2504.0,13882.7,2704.0,0.0,2047.4006,5495.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
2,0.423679453550458,7.535905960392444,2.139152948234625,0.019534182787545488,0.3455422200638093,0.07038163137456352,0.0,0.007755602112085172,0.0,0.04294835419337976,3479.579939999991,79107.2343,0.0,17397.000200000002,56546.2341,5164.0,663.1,20544.799599999937,82586.81423999999,"{'Northeast': {'Northeast': 0, 'West': 6.558433657707886, 'Coastal': 11.703152966106604, 'South': 1.200533006340265e-16, 'Panhandle': 1.9603874079621164e-16}, 'West': {'Northeast': 3.4674439384222375, 'West': 0, 'Coastal': 0, 'South': 26.367505616505365, 'Panhandle': 7.548806024715304e-17}, 'Coastal': {'Northeast': 0.15048833710166887, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.002828446739151417, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 9.379164112033322e-17, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815616701,94.3687733089773,45.11793378097167,128.4274389053591,120.7261693607883,389.82850233765583,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,399.4,10273.697199999937,2504.0,15082.7,2704.0,0.0,2047.4006,5495.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
3,0.2661676499061711,7.3153674837032305,2.0377594128828926,0.010935428269145472,0.2516177350559903,0.0,5.613629261908591e-14,0.014549914850124678,0.0,0.0406639954449087,3479.5799400000897,80307.23429999985,0.0,17397.000200000002,57746.234099999856,5164.0,663.1000000001629,20544.79959999994,83786.81423999995,"{'Northeast': {'Northeast': 0, 'West': 6.0961757520243625, 'Coastal': 10.583326924288839, 'South': 0.0, 'Panhandle': 7.048583938740194e-18}, 'West': {'Northeast': 3.6816759962853873, 'West': 0, 'Coastal': 0, 'South': 25.70100768250774, 'Panhandle': 4.479608803436078e-16}, 'Coastal': {'Northeast': 0.2342732322658255, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 1.6146201326162536e-16, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815619786,94.36877330897731,45.13812501930901,127.07447297211182,127.43321242248317,395.2027707044426,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,399.4000000001629,10273.697199999942,2504.0,15882.699999999855,2704.0,0.0,2047.4006,5495.0005,17140.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
4,0.4781725782263777,6.9919238356205495,1.9360443433854289,0.011966063143859744,0.46450982176253347,0.0,0.0,0.013662756463844244,0.0,0.03919889389041409,3479.579940000088,81391.78429999987,0.0,17397.000200000002,58830.78409999988,5164.0,663.1000000001629,20544.799599999933,84871.36423999995,"{'Northeast': {'Northeast': 0, 'West': 5.401276352924599, 'Coastal': 7.184973719555194, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 4.258555255978203, 'West': 0, 'Coastal': 0, 'South': 22.227444799189858, 'Panhandle': 0}, 'Coastal': {'Northeast': 1.4776049492793875, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815619786,94.36877330897728,45.1318669549245,122.9779731875492,136.9204566054306,400.58725703844027,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3290.9001,0.0,399.4000000001629,10273.697199999933,2504.0,15772.25,2704.0,0.0,2047.4006,5495.0005,18740.601499999877,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
5,0.12666010703977928,6.807942386020786,1.8461703148929285,0.013753885343123487,0.07912430571289303,0.00510427468299065,0.007413441724877451,0.012842645488447707,0.0,0.011860380594619961,3489.9505128052547,82591.7843,0.02217543943057045,17397.000200000002,60030.784100000004,5164.0,663.1000000001629,20613.936752034377,86081.73481280525,"{'Northeast': {'Northeast': 0, 'West': 1.4246372641536733, 'Coastal': 6.37082016346401, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 7.167284896249722, 'West': 0, 'Coastal': 0, 'South': 19.966751994146918, 'Panhandle': 0.025203118768963757}, 'Coastal': {'Northeast': 2.6362339777883546, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.025705044974585416, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 24.02791030238921, 'West': 6.296510637867509, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815619786,94.71984558064317,45.15689363726166,121.34291314997479,143.1160157445534,405.5238550939934,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3290.9001,0.0,399.4000000001629,10273.697199999777,2504.0,16572.25,2704.0,0.0,2047.4006,5495.0005,19140.6015,0.0,263.70000000000005,1780.5206281395592,0.0,359.0,0.0,0.0,5611.218123895041
1,Coastal,Northeast
1,South,West
1,South,West
1,West,Northeast
1,Northeast,Panhandle
1,Northeast,Panhandle
5,West,Panhandle
 at last year ,5,24
 ,Northeast,West,Coastal,South,Panhandle
load ,27272.11955689056,6841.61844888192,19519.131236689922,17539.54086723168,0.0
power generation,26525.023917695744,5954.7698241477865,18318.608108097793,17414.25017021721,2959.758089535553
power charged,0.0,0.0,0.0,0.0,0.0
power discharged,0.0,0.0,0.0,0.0,0.0
transmission power ,747.0956391948184,886.8486247341334,1200.523128592129,125.29069701447234,-2959.758089535553
curtailment ,0.0,0.0,0.0,0.0,0.0

transmission at peak load 
Coastal,Northeast,-1200.523128592129
South,West,-62.64534850723617
South,West,-62.64534850723617
West,Northeast,-15.331975142052883
West,Panhandle,-996.8073466065529
Northeast,Panhandle,-981.4753714645
Northeast,Panhandle,-981.4753714645004

total_investment_cost,3.7090776746633978
