Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,2414.3978859406075,7874.383303695543,2245.484666283998,30.602396390860555,1038.292299906068,369.65200605249316,0.0,49.6635502472015,0.0,48.3061528002686,3479.5799399999905,77907.2343,956.790029734845,17397.000200000002,55346.2341,5164.0,663.1,20544.799599999933,81386.81423999999,"{'Northeast': {'Northeast': 0, 'West': 6.335971139758369, 'Coastal': 14.587130949051572, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 4.1237451489589345, 'West': 0, 'Coastal': 0, 'South': 26.63743946834265, 'Panhandle': 0}, 'Coastal': {'Northeast': 0.03229337905542118, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.560699196966546, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815616701,94.36877330897728,45.10391626906428,129.75187899101502,114.07830101404515,384.4910565646602,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,399.4,10273.697199999933,2504.0,13882.7,2704.0,0.0,2047.4006,5495.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
2,276.3885287586483,7472.911529408621,2197.411176582775,17.320967748123635,198.2512952720088,70.38163137456351,0.0,7.755602112076025,0.0,43.95867050483797,3479.579939999963,79107.2343,0.0,18597.000200000002,55346.2341,5164.0,663.1,20544.799599999747,82586.81423999996,"{'Northeast': {'Northeast': 0, 'West': 6.620345723318788, 'Coastal': 13.873421151913627, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 4.263094362498547, 'West': 0, 'Coastal': 0, 'South': 25.161424244659873, 'Panhandle': 0}, 'Coastal': {'Northeast': 0.007680252725481956, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815616701,94.36877330897637,44.85033787128473,138.35050797889068,111.08453090567104,389.84233704638007,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,399.4,10273.69719999975,3104.0,13882.7,2704.0,0.0,2047.4006,6095.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
3,238.4049123232415,7117.48539789891,2183.6482205535044,11.76760087236181,217.09530822809631,0.0,6.75968924502079,14.549914850124367,0.0,40.86273927320668,3491.348971022811,80907.2343,0.0,20397.000200000002,55346.2341,5164.0,682.7150517047469,20544.799599999747,84398.58327102281,"{'Northeast': {'Northeast': 0, 'West': 6.413653303824183, 'Coastal': 12.277626341273367, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 4.410271256454663, 'West': 0, 'Coastal': 0, 'South': 24.049546191784806, 'Panhandle': 0}, 'Coastal': {'Northeast': 0.11986461911686659, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.2252746266026053,94.36877330897637,45.114620025342404,151.14337152318095,103.35429177221553,395.2063312563162,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,419.0150517047468,10273.69719999975,4304.0,13882.7,2704.0,0.0,2047.4006,6695.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
4,248.51770528529815,6672.979876021056,2202.819366985635,4.8944541848556415,234.8549488214545,0.0,0.0,13.66275646384366,0.0,37.70120803755744,3491.348971022808,81581.78429999971,0.0,23397.000199999704,53020.784100000004,5164.0,682.7150517047469,20544.79959999973,85073.13327102253,"{'Northeast': {'Northeast': 0, 'West': 6.442159362539416, 'Coastal': 10.339242875825903, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 4.021324114226026, 'West': 0, 'Coastal': 0, 'South': 22.375718463671983, 'Panhandle': 0}, 'Coastal': {'Northeast': 0.5051420067290869, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.577878128959416, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.2252746266026053,94.36877330897626,45.15624403395485,170.2071209868425,89.6079126306277,400.56532558700326,9947.9997,20668.0325,2460.0,0.0,901.1002,650.0,3080.9001,0.0,419.0150517047468,10273.69719999973,5503.9999999997035,12172.25,2704.0,0.0,2047.4006,7295.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
5,85.86608112764127,6430.160244446253,2148.282509353885,9.384524441826581,45.74372152566112,5.104274682990649,0.0,12.842645488419054,0.0,11.329522244506869,3491.3489710227072,82781.7842999997,22.175439430570446,24597.000199999693,53020.784100000004,5164.0,682.7150517047469,20544.799599999056,86273.13327102241,"{'Northeast': {'Northeast': 0, 'West': 2.4243308231221836, 'Coastal': 9.106356527901523, 'South': 0.0, 'Panhandle': 0.005466385387395741}, 'West': {'Northeast': 5.997850094701243, 'West': 0, 'Coastal': 0, 'South': 23.262848180019418, 'Panhandle': 0.003462284481635388}, 'Coastal': {'Northeast': 0.7840946171051245, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0, 'Coastal': 0.0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 22.383964544367167, 'West': 7.619192092392446, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.2252746266026053,94.36877330897308,45.14890626875644,177.8393342253806,86.9333499102363,405.5156383399476,9947.9997,20668.0325,2460.0,0.0,901.1002,650.0,3080.9001,0.0,419.0150517047468,10273.697199999058,6103.999999999693,12172.25,2704.0,0.0,2047.4006,7895.0005,16740.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,5553.8016
1,Coastal,Northeast
1,South,West
1,South,West
1,West,Northeast
1,Northeast,Panhandle
1,Northeast,Panhandle
5,West,Panhandle
 at last year ,5,24
 ,Northeast,West,Coastal,South,Panhandle
load ,27272.11955689056,6841.61844888192,19519.131236689922,17539.54086723168,0.0
power generation,27725.023917695744,5798.639751257473,17962.795431312814,16756.478504469524,2929.472504958528
power charged,0.0,0.0,0.0,0.0,0.0
power discharged,0.0,0.0,0.0,0.0,0.0
transmission power ,-452.904360805182,1042.9786976244468,1556.335805377108,783.0623627621553,-2929.472504958528
curtailment ,0.0,0.0,0.0,0.0,0.0

transmission at peak load 
Coastal,Northeast,-1556.335805377108
South,West,-391.53118138107766
South,West,-391.53118138107766
West,Northeast,-509.73013524025555
West,Panhandle,-1316.3109251463466
Northeast,Panhandle,-806.5807899060909
Northeast,Panhandle,-806.5807899060906

total_investment_cost,3263.575113435437
